kode,nama,kab_kota,provinsi_1,provinsi_2,link_profil
1323,UNIVERSITAS NEGERI JAKARTA,Kota Jakarta Timur,Jakarta Raya,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=323
1324,"UPN ""VETERAN"" JAKARTA",Kota Jakarta Selatan,Jakarta Raya,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=324
1331,UNIVERSITAS SINGAPERBANGSA KARAWANG,Kabupaten Karawang,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=331
1332,INSTITUT TEKNOLOGI BANDUNG,Kota Bandung,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=332
1333,UNIVERSITAS PADJADJARAN,Kabupaten Sumedang,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=333
1334,UNIVERSITAS PENDIDIKAN INDONESIA,Kota Bandung,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=334
1335,ISBI BANDUNG,Kota Bandung,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=335
1341,INSTITUT PERTANIAN BOGOR,Kabupaten Bogor,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=341
1342,UNIVERSITAS SILIWANGI,Kota Tasikmalaya,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=342
1351,UNIVERSITAS JENDERAL SOEDIRMAN,Kabupaten Banyumas,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=351
1352,UNIVERSITAS TIDAR,Kota Magelang,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=352
1353,UNIVERSITAS SEBELAS MARET,Kota Surakarta,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=353
1354,ISI SURAKARTA,Kota Surakarta,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=354
1355,UNIVERSITAS DIPONEGORO,Kota Semarang,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=355
1356,UNIVERSITAS NEGERI SEMARANG,Kota Semarang,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=356
1361,UNIVERSITAS GADJAH MADA,Kabupaten Sleman,Yogyakarta,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=361
1362,UNIVERSITAS NEGERI YOGYAKARTA,Kabupaten Sleman,Yogyakarta,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=362
1363,"UPN ""VETERAN"" YOGYAKARTA",Kabupaten Sleman,Yogyakarta,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=363
1364,ISI YOGYAKARTA,Kabupaten Bantul,Yogyakarta,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=364
1371,UNIVERSITAS JEMBER,Kabupate Jember,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=371
1372,UNIVERSITAS BRAWIJAYA,Kota Malang,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=372
1373,UNIVERSITAS NEGERI MALANG,Kota Malang,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=373
1381,UNIVERSITAS AIRLANGGA,Kota Surabaya,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=381
1382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,Kota Surabaya,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=382
1383,UNIVERSITAS NEGERI SURABAYA,Kota Surabaya,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=383
1384,UNIVERSITAS TRUNOJOYO MADURA,Kabupaten Bangkalan,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=384
1385,"UPN ""VETERAN"" JAWA TIMUR",Kota Surabaya,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=385
1511,UNIVERSITAS TANJUNGPURA,Kota Pontianak,Kalimantan Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=511
1521,UNIVERSITAS PALANGKARAYA,Kota Palangkaraya,Kalimantan Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=521
1531,UNIVERSITAS LAMBUNG MANGKURAT,Kota Banjarmasin,Kalimantan Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=531
1541,UNIVERSITAS MULAWARMAN,Kota Samarinda,Kalimantan Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=541
1542,INSTITUT TEKNOLOGI KALIMANTAN,Kota Balikpapan,Kalimantan Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=542
1551,UNIVERSITAS BORNEO TARAKAN,Kota Tarakan,Kalimantan Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=551
1611,UNIVERSITAS UDAYANA,Kabupaten Badung,Bali,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=611
1612,UNIVERSITAS PENDIDIKAN GANESHA,Kabupaten Buleleng,Bali,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=612
1613,ISI DENPASAR,Kota Denpasar,Bali,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=613
1621,UNIVERSITAS MATARAM,Kota Mataram,Nusa Tenggara Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=621
1631,UNIVERSITAS NUSA CENDANA,Kota Kupang,Nusa Tenggara Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=631
1632,UNIVERSITAS TIMOR,Kabupaten Timor Tengah Utara,Nusa Tenggara Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=632
1711,UNIVERSITAS HASANUDDIN,Kota Makassar,Sulawesi Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=711
1712,UNIVERSITAS NEGERI MAKASSAR,Kota Makassar,Sulawesi Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=712
1718,INSTITUT TEKNOLOGI BJ. HABIBIE SULAWESI SELATAN,Kota Parepare,Sulawesi Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=718
1721,UNIVERSITAS SAM RATULANGI,Kota Manado,Sulawesi Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=721
1722,UNIVERSITAS NEGERI MANADO,Kabupaten Minahasa,Sulawesi Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=722
1731,UNIVERSITAS TADULAKO,Kota Palu,Sulawesi Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=731
1741,UNIVERSITAS SULAWESI BARAT,Kabupaten Majene,Sulawesi Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=741
1751,UNIVERSITAS HALUOLEO,Kota Kendari,Sulawesi Tenggara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=751
1752,UNIVERSITAS NEGERI GORONTALO,Kota Gorontalo,Gorontalo,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=752
1753,UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,Kabupaten Kolaka,Sulawesi Tenggara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=753
1811,UNIVERSITAS PATTIMURA,Kota Ambon,Maluku,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=811
1821,UNIVERSITAS KHAIRUN,Kota Ternate,Maluku Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=821
1911,UNIVERSITAS CENDERAWASIH,Kota Jayapura,Papua,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=911
1912,UNIVERSITAS MUSAMUS MERAUKE,Kabupaten Merauke,Papua Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=912
1913,ISBI TANAH PAPUA,Kabupate Jayapura,Papua,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=913
1921,UNIVERSITAS PAPUA,Kabupaten Manokwari,Papua Barat,Papua Barat Daya,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=921
2221,POLITEKNIK NEGERI LHOKSEUMAWE,Kota Lhokseumawe,Aceh,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=221
2222,POLITEKNIK NEGERI MEDAN,Kota Medan,Sumatera Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=222
2231,POLITEKNIK NEGERI BATAM,Kota Batam,Kepulauan Riau,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=231
2232,POLITEKNIK NEGERI BENGKALIS,Kabupaten Bengkalis,Riau,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=232
2241,POLITEKNIK NEGERI PADANG,Kota Padang,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=241
2242,POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH,Kabupaten Lima Puluh Koto,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=242
2271,POLITEKNIK NEGERI SRIWIJAYA,Kota Palembang,Sumatera Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=271
2281,POLITEKNIK MANUFAKTUR NEGERI BANGKA BELITUNG,Kabupaten Bangka,Kepulauan Bangka Belitung,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=281
2291,POLITEKNIK NEGERI LAMPUNG,Kota Bandar Lampung,Lampung,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=291
2421,POLITEKNIK NEGERI JAKARTA,Kota Depok,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=421
2422,POLITEKNIK NEGERI MEDIA KREATIF,Kota Jakarta Selatan,Jakarta Raya,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=422
2431,POLITEKNIK NEGERI BANDUNG,Kota Bandung,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=431
2432,POLITEKNIK MANUFAKTUR BANDUNG,Kota Bandung,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=432
2433,POLITEKNIK NEGERI INDRAMAYU,Kabupaten Indramayu,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=433
2434,POLITEKNIK NEGERI SUBANG,Kabupaten Subang,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=434
2452,POLITEKNIK NEGERI SEMARANG,Kota Semarang,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=452
2453,POLITEKNIK NEGERI CILACAP,Kabupaten Cilacap,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=453
2454,POLITEKNIK MARITIM NEGERI INDONESIA,Kota Semarang,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=454
2471,POLITEKNIK NEGERI BANYUWANGI,Kabupaten Banyuwangi,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=471
2472,POLITEKNIK NEGERI JEMBER,Kabupate Jember,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=472
2473,POLITEKNIK NEGERI MADIUN,Kota Madiun,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=473
2474,POLITEKNIK NEGERI MALANG,Kota Malang,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=474
2481,POLITEKNIK PERKAPALAN NEGERI SURABAYA,Kota Surabaya,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=481
2482,POLITEKNIK ELEKTRONIKA NEGERI SURABAYA (PENS),Kota Surabaya,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=482
2483,POLITEKNIK NEGERI MADURA,Kabupaten Sampang,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=483
2515,POLITEKNIK NEGERI PONTIANAK,Kota Pontianak,Kalimantan Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=515
2516,POLITEKNIK NEGERI KETAPANG,Kabupaten Ketapang,Kalimantan Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=516
2517,POLITEKNIK NEGERI SAMBAS,Kabupaten Sambas,Kalimantan Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=517
2536,POLITEKNIK NEGERI BANJARMASIN,Kota Banjarmasin,Kalimantan Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=536
2537,POLITEKNIK NEGERI TANAH LAUT,Kabupaten Tanah Laut,Kalimantan Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=537
2552,POLITEKNIK NEGERI NUNUKAN,Kabupaten Nunukan,Kalimantan Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=552
2561,POLITEKNIK PERTANIAN NEGERI SAMARINDA,Kota Samarinda,Kalimantan Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=561
2562,POLITEKNIK NEGERI SAMARINDA,Kota Samarinda,Kalimantan Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=562
2563,POLITEKNIK NEGERI BALIKPAPAN,Kota Balikpapan,Kalimantan Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=563
2617,POLITEKNIK NEGERI BALI,Kabupaten Badung,Bali,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=617
2641,POLITEKNIK NEGERI KUPANG,Kota Kupang,Nusa Tenggara Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=641
2642,POLITEKNIK PERTANIAN NEGERI KUPANG,Kota Kupang,Nusa Tenggara Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=642
2716,POLITEKNIK NEGERI UJUNG PANDANG,Kota Makassar,Sulawesi Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=716
2717,POLITEKNIK PERTANIAN NEGERI PANGKAJENE KEPULAUAN,Kabupaten Pangkaje,Sulawesi Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=717
2727,POLITEKNIK NEGERI MANADO,Kota Manado,Sulawesi Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=727
2728,POLITEKNIK NEGERI NUSA UTARA,Kabupaten Kepulauan Sangihe,Sulawesi Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=728
2831,POLITEKNIK NEGERI AMBON,Kota Ambon,Maluku,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=831
2832,POLITEKNIK PERIKANAN NEGERI TUAL,Kabupaten Maluku Tenggara,Maluku,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=832
2931,POLITEKNIK NEGERI FAKFAK,Kabupaten Fak-Fak,Papua Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=931
1116,UIN AR-RANIRY,Kota Banda Aceh,Aceh,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=116
1123,UIN SUMATERA UTARA,Kabupaten Deli Serdang,Sumatera Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=123
1124,UIN SYEKH ALI HASAN AHMAD ADDARY PADANGSIDIMPUAN,Kota Padangsidimpuan,Sumatera Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=124
1132,UIN SULTAN SYARIF KASIM,Kota Pekanbaru,Riau,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=132
1144,UIN IMAM BONJOL PADANG,Kota Padang,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=144
1152,UIN SULTAN THAHA SAIFUDDIN JAMBI,Kota Jambi,Jambi,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=152
1172,UIN RADEN FATAH,Kota Palembang,Sumatera Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=172
1193,UIN RADEN INTAN LAMPUNG,Kota Bandar Lampung,Lampung,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=193
1194,UIN MAHMUD YUNUS BATUSANGKAR,Kabupaten Tanah Datar,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=194
1195,UIN SJECH M. DJAMIL DJAMBEK BUKITTINGGI,Kota Bukittinggi,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=195
1312,UIN SULTAN MAULANA HASANUDDIN BANTEN,Kota Serang,Banten,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=312
1322,UIN JAKARTA,Kota Tangerang Selatan,Banten,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=322
1336,UIN SUNAN GUNUNG DJATI,Kota Bandung,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=336
1357,UIN WALISONGO,Kota Semarang,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=357
1358,UIN RADEN MAS SAID SURAKARTA,Kabupate Sukoharjo,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=358
1365,UIN SUNAN KALIJAGA,Kabupaten Sleman,Yogyakarta,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=365
1366,UIN PROFESOR KIAI HAJI SAIFUDDIN ZUHRI PURWOKERTO,Kabupaten Banyumas,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=366
1367,UIN SALATIGA,Kota Salatiga,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=367
1368,UIN K.H. ABDURRAHMAN WAHID PEKALONGAN,Kota Pekalongan,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=368
1374,UIN MALANG,Kota Malang,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=374
1386,UIN SUNAN AMPEL SURABAYA,Kota Surabaya,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=386
1532,UIN ANTASARI BANJARMASIN,Kota Banjarmasin,Kalimantan Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=532
1571,UIN SULTAN AJI MUHAMMAD IDRIS SAMARINDA,Kota Samarinda,Kalimantan Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=571
1622,UIN MATARAM,Kota Mataram,Nusa Tenggara Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=622
1713,UIN ALAUDDIN,Kabupaten Gowa,Sulawesi Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=713
1732,UIN DATOKARAMA PALU,Kota Palu,Sulawesi Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=732
